word	word_count	mean_sent_length	final_count	solo_count
abuelico	1.0	5.0	0.0	0.0
motores	8.0	7.125	5.0	0.0
enterrar	1.0	6.0	1.0	0.0
diciéndo	1.0	7.0	0.0	0.0
acto	1.0	7.0	0.0	0.0
arreglándo	1.0	6.0	0.0	0.0
magía	1.0	6.0	0.0	0.0
corazón	71.0	6.126760563380282	44.0	2.0
viajar	7.0	7.0	3.0	0.0
enfermado	2.0	18.0	0.0	0.0
caro	5.0	7.6	1.0	0.0
guau	304.0	4.207236842105263	131.0	71.0
cantimplora	3.0	13.333333333333334	0.0	0.0
figurita	1.0	9.0	0.0	0.0
enseñará	1.0	7.0	0.0	0.0
griega	4.0	3.25	2.0	0.0
teletubis	4.0	7.25	1.0	0.0
deseos	5.0	12.2	4.0	0.0
viajas	12.0	7.0	0.0	0.0
jarra	25.0	5.32	16.0	0.0
argentino	1.0	23.0	0.0	0.0
ridículo	1.0	9.0	0.0	0.0
harás	14.0	5.571428571428571	3.0	0.0
fija	9.0	5.888888888888889	6.0	0.0
bájale	3.0	4.0	1.0	0.0
chiquitico	11.0	7.454545454545454	5.0	0.0
abejas	11.0	4.818181818181818	8.0	2.0
regalando	4.0	5.25	3.0	0.0
bobi	1.0	5.0	0.0	0.0
cerrito	2.0	9.0	0.0	0.0
toques	127.0	5.149606299212598	48.0	0.0
bario	2.0	4.0	1.0	0.0
español	34.0	8.323529411764707	13.0	0.0
chulo	98.0	5.336734693877551	65.0	1.0
ábrete	3.0	3.0	2.0	0.0
logran	1.0	5.0	0.0	0.0
específico	2.0	3.0	2.0	0.0
lapicito	5.0	5.2	3.0	0.0
vostè	5.0	6.8	2.0	0.0
contestábamos	1.0	7.0	0.0	0.0
agárrate	5.0	3.6	2.0	1.0
color	1057.0	6.3017975402081365	207.0	1.0
despertado	22.0	7.318181818181818	6.0	0.0
venid	5.0	7.6	0.0	0.0
dibujao	1.0	8.0	1.0	0.0
meu	3.0	8.666666666666666	1.0	0.0
cagando	2.0	4.5	1.0	0.0
ésto	588.0	5.130952380952381	278.0	11.0
frustraciones	1.0	10.0	0.0	0.0
nananananananananananananananana	1.0	2.0	1.0	0.0
acuestate	1.0	2.0	1.0	0.0
arrear	1.0	6.0	0.0	0.0
güele	1.0	6.0	0.0	0.0
tapo	9.0	5.888888888888889	4.0	0.0
encanta	37.0	6.918918918918919	18.0	0.0
redondos	11.0	5.909090909090909	6.0	0.0
trigo	5.0	8.6	1.0	0.0
programe	1.0	16.0	0.0	0.0
anglès	5.0	6.0	2.0	0.0
tomate	80.0	4.7125	54.0	5.0
contestame	4.0	5.5	2.0	0.0
sabes	2514.0	6.83054892601432	752.0	70.0
borja	6.0	4.833333333333333	5.0	0.0
cogeis	1.0	4.0	0.0	0.0
pasaste	46.0	7.934782608695652	4.0	0.0
supercalifra	1.0	1.0	1.0	1.0
étes	1.0	1.0	1.0	1.0
repartes	1.0	9.0	0.0	0.0
cartel	2.0	3.5	1.0	0.0
valorado	1.0	9.0	0.0	0.0
escupa	3.0	8.333333333333334	0.0	0.0
comerlo	5.0	11.0	4.0	0.0
ranzor	1.0	3.0	1.0	0.0
preste	1.0	10.0	0.0	0.0
flam	2.0	3.0	1.0	0.0
claudica	1.0	4.0	1.0	0.0
pintala	2.0	8.0	0.0	0.0
mete	257.0	7.4591439688715955	27.0	3.0
esquinas	12.0	6.916666666666667	5.0	0.0
mareen	1.0	10.0	1.0	0.0
marichu	1.0	6.0	1.0	0.0
llamaban	21.0	9.333333333333334	7.0	0.0
entraban	7.0	5.0	2.0	0.0
éstos	589.0	6.152801358234296	179.0	12.0
cestas	1.0	14.0	0.0	0.0
hijo	351.0	6.8262108262108265	201.0	4.0
luego	1671.0	9.056253740275285	272.0	19.0
quemen	2.0	7.5	1.0	0.0
lleguemos	2.0	14.0	0.0	0.0
borde	8.0	12.5	4.0	0.0
estatuas	5.0	4.0	3.0	0.0
ocurra	8.0	8.375	5.0	0.0
agresivos	1.0	6.0	1.0	0.0
catiuscas	1.0	3.0	1.0	0.0
faig	5.0	5.2	1.0	0.0
opté	1.0	7.0	0.0	0.0
cumplía	5.0	3.4	5.0	0.0
encienda	2.0	6.5	0.0	0.0
ternerillo	2.0	9.5	0.0	0.0
cachorritos	3.0	3.3333333333333335	2.0	0.0
besos	34.0	6.617647058823529	17.0	0.0
habido	10.0	9.2	0.0	0.0
punto	26.0	7.346153846153846	11.0	0.0
mama	103.0	6.776699029126213	32.0	4.0
subiros	1.0	5.0	0.0	0.0
cogio	1.0	12.0	0.0	0.0
genuinos	1.0	5.0	0.0	0.0
chuiquita	1.0	6.0	0.0	0.0
id	1.0	6.0	0.0	0.0
duérmela	10.0	4.3	3.0	2.0
sentó	6.0	9.666666666666666	0.0	0.0
chun	6.0	4.333333333333333	2.0	1.0
quitaste	8.0	6.25	5.0	0.0
totem	1.0	13.0	0.0	0.0
ejercicio	8.0	14.75	3.0	0.0
adam	5.0	7.4	3.0	1.0
reflejais	1.0	19.0	0.0	0.0
rompen	23.0	6.0	9.0	0.0
pruebala	1.0	9.0	0.0	0.0
enteraron	4.0	5.5	2.0	0.0
rápida	6.0	4.833333333333333	2.0	0.0
cherith	1.0	5.0	1.0	0.0
esos	587.0	7.190800681431005	79.0	4.0
chato	1.0	3.0	1.0	0.0
cantases	1.0	19.0	0.0	0.0
cangrejo	3.0	8.333333333333334	2.0	0.0
pérez	1.0	17.0	0.0	0.0
trimestre	5.0	13.2	2.0	0.0
padrastro	1.0	6.0	0.0	0.0
pesó	7.0	7.0	1.0	0.0
cuentista	1.0	5.0	1.0	0.0
guixi	1.0	11.0	0.0	0.0
copiara	2.0	4.5	0.0	0.0
ejercita	1.0	13.0	0.0	0.0
protestas	1.0	15.0	0.0	0.0
vietnamitas	1.0	12.0	0.0	0.0
conserva	1.0	4.0	1.0	0.0
hechita	1.0	7.0	0.0	0.0
dif	1.0	3.0	1.0	0.0
maltes	1.0	4.0	1.0	0.0
curro	1.0	3.0	0.0	0.0
juramento	2.0	3.5	0.0	0.0
ventanilla	1.0	2.0	1.0	0.0
carné	2.0	9.5	1.0	0.0
payasitos	3.0	8.666666666666666	3.0	0.0
pidió	14.0	10.714285714285714	6.0	0.0
arbusto	1.0	8.0	0.0	0.0
confundo	1.0	5.0	1.0	0.0
clik	2.0	7.5	0.0	0.0
marcia	1.0	4.0	1.0	0.0
aquellos	13.0	7.384615384615385	3.0	0.0
ahuyentas	1.0	3.0	1.0	0.0
hacían	95.0	6.631578947368421	28.0	0.0
vell	1.0	10.0	1.0	0.0
pintando	148.0	5.25	72.0	5.0
abusa	1.0	9.0	0.0	0.0
montemos	2.0	6.5	0.0	0.0
gent	1.0	15.0	0.0	0.0
pierdas	6.0	8.5	1.0	0.0
signos	3.0	9.0	1.0	0.0
piernecitas	6.0	8.333333333333334	3.0	0.0
servía	6.0	5.333333333333333	1.0	0.0
cierres	7.0	7.857142857142857	1.0	0.0
chilla	7.0	4.285714285714286	3.0	0.0
grata	1.0	16.0	0.0	0.0
rapidillo	2.0	4.5	2.0	0.0
acostaba	2.0	16.0	0.0	0.0
abuelillo	1.0	5.0	0.0	0.0
péinalo	1.0	1.0	1.0	1.0
dosmil	2.0	2.0	2.0	0.0
trataran	1.0	9.0	0.0	0.0
dándome	1.0	37.0	0.0	0.0
espejito	6.0	4.5	3.0	0.0
comiendose	1.0	7.0	0.0	0.0
feien	2.0	5.0	0.0	0.0
pasad	1.0	5.0	1.0	0.0
pintadas	2.0	5.5	2.0	0.0
crocreta	1.0	2.0	1.0	0.0
escabas	1.0	8.0	0.0	0.0
yiye	13.0	6.076923076923077	4.0	0.0
cabello	2.0	3.0	2.0	0.0
jajh	1.0	1.0	1.0	1.0
sabido	6.0	12.833333333333334	0.0	0.0
donald	24.0	5.875	16.0	0.0
concursaría	1.0	9.0	0.0	0.0
