Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
pudding	pudding	25.9260530960335	38.825598439344	191	-3.55121010015938	nouns	7	4.9	6.47058823529412
pullover	sweater	23.3105079654775	55.8341879028075	307	-2.84553665978025	nouns	8	4.78	7.28630705394191
puppe	doll	19.1230781593099	-404.626742582897	841	-0.392958897107613	nouns	5	5	6.88535714285714
pusten	blow	24.9250140591394	-62.4325239246418	188	-2.84969466992892	verbs	6	3.74	4.57916666666667
radio	radio	26.6083573289946	-24.1740710397672	145	-3.4030799081137	nouns	5	4.74	6.42753623188406
reden	talk	28.664408056246	50.0393485740684	252	-3.15418386069708	verbs	5	4.07	9.74576271186441
regen	rain	23.3666162281662	20.3855279616396	215	-3.20636961386765	nouns	5	4.97	7.14285714285714
reh	deer	28.1491970292457	-4.48335353707961	124	-3.7870388110009	nouns	3	4.86	5.8936170212766
reicen	tear	30.1649443385743	-10.4055020406063	0	-7.2317213046028	verbs	7	4.56	7.44972997156923
rein	inside	24.029684563203	-211.852047081901	1729	0.442896192761564	function_words	4	3.67	6.95045672704753
reiten	ride	28.7041701492702	40.4746716037072	240	-3.17127829405638	verbs	6	3.75	7.88505747126437
rot	red	24.685389880059	-175.870632937671	660	-1.05585403449704	adjectives	3	4.24	5.58974358974359
ruhig	quietly	30.4222242732016	32.4003399022739	473	-2.03322427333697	adjectives	5	3	9.31123388581952
rutsche	slide (object)	22.082036052734	-1.96065142593162	200	-3.15418386069708	nouns	7	4.48	6.71186440677966
saft	juice	23.0471709628253	-48.6160683778911	339	-2.22108601050654	nouns	4	4.89	5.72222222222222
sagen	say	27.3171540195673	115.92735239081	1296	-0.486484955118436	verbs	5	2.58	9.52549019607843
sauber	clean (action)	23.9030392920306	-46.7266192940496	422	-1.94177218772528	verbs	6	3.07	6.69243697478992
sauber	clean (description)	23.3882959113221	-46.7266192940496	422	-1.94177218772528	adjectives	6	3.07	6.69243697478992
schaf	sheep	22.9223324073603	-19.0009479658168	465	-1.89418322490148	nouns	5	4.9	6.21153846153846
schal	scarf	25.1730010387295	18.2176943865206	102	-4.37908987468948	nouns	5	4.97	9.23076923076923
schaufel	shovel	23.4015181102494	0.608201514854358	209	-3.10997776819258	nouns	8	4.97	6.00540540540541
schaukel	swing (object)	22.4488812106746	-89.7060421531059	289	-2.25498756218222	nouns	8	4.54	5.33793103448276
schaukeln	swing (action)	23.1250565008321	-62.1090353583162	258	-2.49845111598739	verbs	9	4.54	5.19648093841642
scheide	vagina	29.554518606921	3.14699200662949	16	-6.94403923215102	nouns	7	4.82	14
schere	scissors	24.4571293703847	34.7590292698177	347	-2.53427584250554	nouns	6	4.85	7.85106382978723
schiff	boat	23.4484373792497	57.7462139505182	583	-1.77213579045864	nouns	6	4.93	8.17446808510638
schildkröte	turtle	27.1652450926317	-11.9964527253834	245	-2.8128806968062	nouns	11	5	6.02008032128514
schlafanzug	pajamas	24.7610359712133	39.5570582662948	170	-3.76598540180307	nouns	11	4.73	8.36458333333333
